# 1:N    2:α      3:num    4:train_loss₀        6:test_loss₀         8:ρ₀                 10:train_loss        12:test_loss         14:ρ                 16:Psat              
200      0.1      20       1858.0 1.37e+02      3.945 1.24e-01       0.0463 2.34e-03      19.4 3.77e+00        4.002 1.03e-01       0.0565 6.79e-03      0.4 1.12e-01         
200      0.2      20       915.0 5.63e+01       3.893 1.78e-01       0.03826 2.33e-03     1.94 3.34e-01        3.762 1.42e-01       0.0779 1.36e-02      0.15 8.19e-02        
200      0.3      20       659.5 3.08e+01       3.944 1.32e-01       0.03213 5.91e-04     0.197 4.15e-02       4.034 1.54e-01       0.087 1.58e-02       0.0 0.0              
200      0.4      20       469.8 2.01e+01       4.014 2.56e-01       0.01965 1.27e-03     0.0501 1.01e-02      3.909 1.67e-01       0.1255 1.73e-02      0.0 0.0              
200      0.5      20       136.0 8.87e+00       3.483 9.09e-02       0.2327 2.67e-02      0.01233 2.05e-03     3.67 1.46e-01        0.1433 2.66e-02      0.0 0.0              
200      0.6      20       104.6 9.00e+00       3.459 1.77e-01       0.301 2.60e-02       0.0016 4.05e-04      3.766 1.72e-01       0.2153 2.74e-02      0.0 0.0              
200      0.7      20       84.9 7.11e+00        3.349 1.43e-01       0.32 3.24e-02        0.00023 3.85e-05     3.387 1.44e-01       0.2401 3.14e-02      0.0 0.0              
200      0.8      20       57.9 4.39e+00        3.259 2.14e-01       0.3905 2.73e-02      0.000206 4.01e-05    3.457 2.25e-01       0.323 3.69e-02       0.0 0.0              
200      0.9      20       52.5 4.04e+00        3.076 1.64e-01       0.4266 2.41e-02      0.00145 3.23e-04     3.189 1.83e-01       0.365 3.41e-02       0.0 0.0              
200      1.0      20       47.5 3.78e+00        3.346 2.68e-01       0.4513 2.02e-02      0.0037 7.64e-04      3.307 1.72e-01       0.3774 2.77e-02      0.0 0.0              
200      1.1      20       41.7 3.70e+00        3.149 1.62e-01       0.4559 2.65e-02      0.00897 1.56e-03     3.371 1.92e-01       0.41 3.52e-02        0.0 0.0              
200      1.2      20       35.6 3.46e+00        3.084 1.29e-01       0.5042 2.65e-02      0.01192 1.42e-03     3.069 1.86e-01       0.502 4.10e-02       0.0 0.0              
200      1.3      20       30.59 2.63e+00       2.858 1.35e-01       0.5209 2.52e-02      0.02302 3.01e-03     2.79 1.74e-01        0.514 3.87e-02       0.0 0.0              
200      1.4      20       25.48 2.99e+00       2.662 1.45e-01       0.5643 2.52e-02      0.0271 3.47e-03      2.515 1.92e-01       0.61 3.49e-02        0.0 0.0              
200      1.5      20       22.92 2.82e+00       2.345 1.23e-01       0.5916 1.69e-02      0.0349 3.69e-03      2.152 1.90e-01       0.642 3.87e-02       0.0 0.0              
200      1.6      20       19.05 2.35e+00       2.311 1.26e-01       0.6361 1.03e-02      0.0318 3.68e-03      1.609 1.63e-01       0.7583 2.46e-02      0.0 0.0              
200      1.7      20       16.12 1.67e+00       2.403 1.51e-01       0.6601 1.05e-02      0.0249 4.96e-03      1.148 2.26e-01       0.8484 3.11e-02      0.0 0.0              
200      1.8      20       14.93 1.41e+00       2.382 1.11e-01       0.6712 9.85e-03      0.0191 4.48e-03      0.694 1.76e-01       0.9026 2.40e-02      0.0 0.0              
200      1.9      20       13.84 1.38e+00       2.057 8.74e-02       0.6856 9.46e-03      0.0121 4.45e-03      0.267 9.99e-02       0.9656 1.24e-02      0.0 0.0              
200      2.0      20       12.92 1.19e+00       1.997 7.47e-02       0.6956 8.96e-03      0.0099 4.34e-03      0.22 9.80e-02        0.9745 1.17e-02      0.0 0.0              
200      2.1      20       11.5 9.14e-01        1.934 1.23e-01       0.7057 8.23e-03      0.0063 4.56e-03      0.112 8.86e-02       0.9796 1.57e-02      0.0 0.0              
200      2.2      20       10.63 7.17e-01       1.958 1.03e-01       0.7158 7.69e-03      0.0033 3.29e-03      0.053 5.23e-02       0.9945 5.42e-03      0.05 5.00e-02        
200      2.3      20       9.81 6.33e-01        1.678 6.88e-02       0.7261 7.30e-03      1.125e-5 3.76e-07    0.0002666 2.27e-05   0.99996633 2.19e-06  0.25 9.93e-02        
200      2.4      20       9.09 5.91e-01        1.874 9.17e-02       0.7371 7.14e-03      9.803e-6 2.88e-07    0.0001966 1.28e-05   0.99997476 1.47e-06  0.65 1.09e-01        
200      2.5      20       8.26 5.73e-01        1.769 1.04e-01       0.7486 6.53e-03      9.051e-6 2.70e-07    0.0001665 1.17e-05   0.99997858 1.25e-06  0.75 9.93e-02        
400      2.5      20       7.57 3.35e-01        1.753 6.49e-02       0.7516 4.85e-03      6.573e-5 1.22e-06    0.001125 5.69e-05    0.9998585 5.35e-06   0.0 0.0              

