#1=α 2=ρ 3=Δ 4=ϕ 5=q0 6=δq 7=qh0 8=δqh 9=ρh
2.0 0.01 0.01 -0.010087881821795736 2.093547566424364 7.850953940702449 0.03396387460773974 0.12737305651681444 0.0012737305651681443
2.0 0.02 0.01 -0.01009214971843489 2.093362853995685 7.851763374050671 0.03394901003722857 0.12735992570852359 0.002547198514170472
2.0 0.03 0.01 -0.010099255716474104 2.093065382699045 7.851737917371776 0.033936294667135644 0.12736033863121243 0.0038208101589363727
2.0 0.04 0.01 -0.010109198869224761 2.092656220896162 7.850733983563071 0.03392697867916594 0.1273766251784458 0.005095065007137832
2.0 0.05 0.01 -0.010121979665452946 2.0921361660145377 7.848621632083287 0.03392219060465218 0.1274109068925223 0.006370545344626115
2.0 0.06 0.01 -0.010137620393408958 2.0915465364647416 7.84003377200262 0.03396905827456329 0.12755047096494393 0.0076530282578966356
2.0 0.07 0.01 -0.010156142754632391 2.0908871478708546 7.824936825075562 0.0340682596429424 0.12779655891858827 0.00894575912430118
2.0 0.01 0.02 -0.011787796604368628 2.1013570162676896 7.633046790894645 0.03606478332575158 0.13100928467946588 0.0013100928467946588
2.0 0.02 0.02 -0.011792260747097022 2.101208403684919 7.629560591472822 0.03609004247827784 0.13106914716918952 0.0026213829433837906
2.0 0.08 0.01 -0.010177545768672164 2.0901228704409225 7.807919848074612 0.03417978019974823 0.12807508522857008 0.010246006818285606
2.0 0.01 0.001 -0.008636230930708866 2.085493437946847 8.12491800207481 0.0315900293359861 0.12307816518820695 0.0012307816518820696
2.0 0.03 0.02 -0.011770450174149988 2.101034114150371 7.624151355092459 0.03612967133341047 0.13116213902706197 0.003934864170811859
2.0 0.02 0.001 -0.008640291316120291 2.085305202528913 8.125463720942594 0.03157839129548509 0.1230698990658954 0.002461397981317908
2.0 0.01 0.002 -0.008793537802821244 2.086468186707237 8.08794488561324 0.031894410945547895 0.12364080296575594 0.0012364080296575594
2.0 0.03 0.001 -0.008647055396780567 2.085006261868519 8.125184083891497 0.031568463194259225 0.12307413465038164 0.003692224039511449
2.0 0.02 0.002 -0.008797626420621873 2.0862774444365284 8.088801566004117 0.03188015505357221 0.12362770823836663 0.0024725541647673327
2.0 0.04 0.001 -0.008656520214854996 2.0845938762081984 8.12392027453565 0.031561431126766445 0.1230932808553637 0.004923731234214548
2.0 0.03 0.002 -0.00880443361215133 2.0859766901921573 8.08880702390619 0.03186787347207143 0.1236276248208833 0.003708828744626499
2.0 0.05 0.001 -0.00866868693642553 2.084069062945154 8.121535159174961 0.03155837024854668 0.12312943063114025 0.006156471531557013
2.0 0.04 0.02 -0.011810129576183048 2.1006088858937924 7.616238686395186 0.036185383948070596 0.13129840609988896 0.005251936243995559
2.0 0.04 0.002 -0.008813958332518745 2.085563838155167 8.087807180815494 0.03185874039368862 0.12364290810147258 0.004945716324058903
2.0 0.09 0.01 -0.010201846196513015 2.0892607363246025 7.788102291240327 0.03431170740074203 0.1284009842968743 0.011556088586718687
2.0 0.01 0.1 -0.027371480851379387 2.152935373554156 6.426185740340983 0.05213198631361668 0.15561330475127824 0.0015561330475127825
2.0 0.05 0.002 -0.008826208989824919 2.085035559115288 8.085660148066479 0.03185381540488 0.1236757397278353 0.006183786986391765
2.0 0.01 0.05 -0.01729008813096028 2.1226692447440123 7.068737017431827 0.042479384738176126 0.14146798749676986 0.0014146798749676986
2.0 0.02 0.1 -0.027377304023261634 2.152801241358331 6.42325252057313 0.05216908766971841 0.1556843665724001 0.003113687331448002
2.0 0.02 0.05 -0.017295109319586915 2.122526675453249 7.065536581282285 0.04250901149753037 0.14153206745106336 0.0028306413490212672
2.0 0.06 0.001 -0.008683585031386665 2.0834878870119606 8.11045378908116 0.03161910824428957 0.12329766323880269 0.007397859794328161
2.0 0.05 0.02 -0.011823544276682502 2.100154306609413 7.606834278642862 0.036251502247403894 0.13146073167488675 0.0065730365837443384
2.0 0.06 0.002 -0.008841181967781497 2.0844393077431973 8.076945214566324 0.03189659095791829 0.12380918446698824 0.0074285510680192944
2.0 0.03 0.1 -0.027387009100035997 2.1525690134189897 6.419250114921847 0.05221639325300045 0.155781435852679 0.00467344307558037
2.0 0.03 0.05 -0.017303477797972727 2.122280888016461 7.061133109652158 0.04254708931298191 0.1416203298353147 0.004248609895059441
