#1=α 2=ϕ 3=q0 4=qh0 
1.2 -0.940508534942748 0.0 0.0
1.2 -0.9404751627558264 0.01 0.010101010101010102
1.2 -0.94038040843204 0.02 0.020408163265306124
1.2 -0.9402308948941116 0.03 0.030927835051546393
1.2 -0.9400318251585591 0.04 0.04166666666666667
1.2 -0.9397874869101751 0.05 0.052631578947368425
1.2 -0.9395014666924508 0.06 0.06382978723404255
1.2 -0.9391768772332164 0.07 0.07526881720430109
1.2 -0.9388164296552931 0.08 0.08695652173913043
1.2 -0.9384225138199889 0.09 0.0989010989010989
1.2 -0.9379972951798072 0.1 0.11111111111111112
1.2 -0.937542689099301 0.11 0.12359550561797752
1.2 -0.9370604545777317 0.12 0.13636363636363635
1.2 -0.9365521816813559 0.13 0.14942528735632185
1.2 -0.9360193430481595 0.14 0.16279069767441862
1.2 -0.9354632835615109 0.15 0.17647058823529413
1.2 -0.9348852786742102 0.16 0.1904761904761905
1.2 -0.9342864797799232 0.17 0.20481927710843376
1.2 -0.9336679649976386 0.18 0.2195121951219512
1.2 -0.9330307705297256 0.19 0.2345679012345679
1.2 -0.9323758357630344 0.2 0.25
1.2 -0.93170405831113 0.21 0.26582278481012656
1.2 -0.9310163054205222 0.22 0.28205128205128205
1.2 -0.9303133497573971 0.23 0.2987012987012987
1.2 -0.9295959662798324 0.24 0.3157894736842105
1.2 -0.9288648706934135 0.25 0.3333333333333333
1.2 -0.9281207440542133 0.26 0.35135135135135137
1.2 -0.9273642400690395 0.27 0.36986301369863017
1.2 -0.9265959708439939 0.28 0.38888888888888895
1.2 -0.9258165309386137 0.29 0.4084507042253521
1.2 -0.9250264854733175 0.3 0.4285714285714286
1.2 -0.924226369364931 0.31 0.44927536231884063
1.2 -0.9234167017715232 0.32 0.4705882352941177
1.2 -0.9225979736235336 0.33 0.4925373134328359
1.2 -0.9217706469187108 0.34 0.5151515151515152
1.2 -0.92093517953362 0.35 0.5384615384615384
1.2 -0.9200920028698715 0.36 0.5625
1.2 -0.9192415234177619 0.37 0.5873015873015873
1.2 -0.9183841382724984 0.38 0.6129032258064516
1.2 -0.9175202230561618 0.39 0.639344262295082
1.2 -0.9166501259871297 0.4 0.6666666666666667
1.2 -0.9157741976172825 0.41 0.694915254237288
1.2 -0.914892743462777 0.42 0.7241379310344827
1.2 -0.9140060800860736 0.43 0.7543859649122806
1.2 -0.9131144761494275 0.44 0.7857142857142857
1.2 -0.9122182172260944 0.45 0.8181818181818181
1.2 -0.9113175420902577 0.46 0.8518518518518519
1.2 -0.9104126624969028 0.47 0.8867924528301886
1.2 -0.909503803720799 0.48 0.923076923076923
1.2 -0.9085911377695282 0.49 0.9607843137254901
1.2 -0.9076748312221736 0.5 1.0
1.2 -0.9067550161720588 0.51 1.0408163265306123
1.2 -0.9058318046497111 0.52 1.0833333333333335
1.2 -0.9049052646050486 0.53 1.1276595744680853
1.2 -0.9039754603169934 0.54 1.173913043478261
1.2 -0.9030423959892024 0.55 1.2222222222222225
1.2 -0.9021060440521296 0.56 1.272727272727273
1.2 -0.9011663367275482 0.57 1.325581395348837
1.2 -0.9002231719498442 0.58 1.3809523809523807
1.2 -0.8992763907400005 0.59 1.4390243902439022
1.2 -0.8983257605495674 0.6 1.4999999999999998
1.2 -0.8973709950112396 0.61 1.564102564102564
1.2 -0.896411742896193 0.62 1.631578947368421
1.2 -0.8954475707500151 0.63 1.7027027027027026
1.2 -0.8944779419301794 0.64 1.777777777777778
1.2 -0.8935022270195148 0.65 1.8571428571428574
1.2 -0.8925196698223871 0.66 1.9411764705882355
1.2 -0.8915293789955903 0.67 2.0303030303030307
1.2 -0.8905302973794397 0.68 2.1250000000000004
1.2 -0.8895212063941861 0.69 2.2258064516129026
1.2 -0.8885006480725752 0.7 2.333333333333333
1.2 -0.8874669534434076 0.71 2.4482758620689653
1.2 -0.886418145013103 0.72 2.571428571428571
1.2 -0.8853519052792643 0.73 2.7037037037037033
1.2 -0.8842655348948408 0.74 2.846153846153846
1.2 -0.8831558581057578 0.75 3.0
1.2 -0.882019140479429 0.76 3.166666666666667
1.2 -0.8808509648546353 0.77 3.347826086956522
1.2 -0.8796461141784433 0.78 3.545454545454546
1.2 -0.8783983810085826 0.79 3.7619047619047628
1.2 -0.8771003504874358 0.8 4.000000000000001
1.2 -0.8757430989959302 0.81 4.263157894736843
1.2 -0.8743158448412822 0.82 4.5555555555555545
1.2 -0.8728054603555013 0.83 4.882352941176469
1.2 -0.8711958129277912 0.84 5.249999999999999
1.2 -0.8694669053812425 0.85 5.666666666666666
1.2 -0.867593664474658 0.86 6.142857142857142
1.2 -0.8655442846637027 0.87 6.692307692307692
1.2 -0.8632778127666405 0.88 7.333333333333334
1.2 -0.8607406300400262 0.89 8.090909090909092
