#1=α 2=ϕ 3=q0 4=qh0 
0.5 -0.39187856315039094 0.0 -2.642495106058981e-13
0.5 -0.39187944455651086 0.01 0.010101000010200162
0.5 -0.39188437839351875 0.02 0.020408163265307054
0.5 -0.3918968770632173 0.03 0.03092783505154735
0.5 -0.3919197510174787 0.04 0.041666666666667664
0.5 -0.3919554132470378 0.05 0.05263157894736945
0.5 -0.3920060267970863 0.06 0.06382978723404362
0.5 -0.39207355634417773 0.07 0.07526881720430219
0.5 -0.3921599025471927 0.08 0.08695652173913157
0.5 -0.3922667570635033 0.09 0.09890109890110008
0.5 -0.3923957639598225 0.1 0.11111111111111234
0.5 -0.3925485711333502 0.11 0.1235955056179788
0.5 -0.3927266778705929 0.12 0.13636363636363769
0.5 -0.39293163001113757 0.13 0.14942528735632318
0.5 -0.39316483658601886 0.14 0.16279069767442003
0.5 -0.393427812601834 0.15 0.17647058823529554
0.5 -0.3937220236755202 0.16 0.19047619047619196
0.5 -0.39404893231190913 0.17 0.20481927710843528
0.5 -0.3944099131851249 0.18 0.21951219512195275
0.5 -0.39480653893019607 0.19 0.23456790123456953
0.5 -0.3952402295541014 0.2 0.25000000000000167
0.5 -0.395712464051741 0.21 0.2658227848101283
0.5 -0.3962247614763721 0.22 0.2820512820512838
0.5 -0.39677873722240514 0.23 0.29870129870130047
0.5 -0.3973758122605346 0.24 0.3157894736842123
0.5 -0.39801771603624314 0.25 0.33333333333333515
0.5 -0.3987060517930455 0.26 0.3513513513513532
0.5 -0.3994424933242298 0.27 0.36986301369863195
0.5 -0.4002287593215311 0.28 0.3888888888888907
0.5 -0.4010666644959675 0.29 0.40845070422535384
0.5 -0.40195799049614733 0.3 0.42857142857143027
0.5 -0.4029046399792344 0.31 0.44927536231884224
0.5 -0.40390859950149305 0.32 0.4705882352941192
0.5 -0.4049718761851369 0.33 0.49253731343283735
0.5 -0.4060965359482568 0.34 0.5151515151515165
0.5 -0.40728476479019987 0.35 0.5384615384615394
0.5 -0.40853881371267753 0.36 0.5625000000000007
0.5 -0.40986106289799357 0.37 0.5873015873015877
0.5 -0.41125393515567554 0.38 0.6129032258064516
0.5 -0.4127199269449834 0.39 0.6393442622950813
0.5 -0.41426176189038133 0.4 0.6666666666666653
0.5 -0.41588223914552636 0.41 0.6949152542372856
0.5 -0.41758416343225124 0.42 0.7241379310344792
0.5 -0.41937062262537517 0.43 0.7543859649122762
0.5 -0.4212448413660407 0.44 0.785714285714279
0.5 -0.4232101438754057 0.45 0.8181818181818095
0.5 -0.42527002064934527 0.46 0.8518518518518408
0.5 -0.4274281943355718 0.47 0.8867924528301742
0.5 -0.42968859758082256 0.48 0.9230769230769048
0.5 -0.43205523699965637 0.49 0.9607843137254674
0.5 -0.4345325265238518 0.5 0.9999999999999714
0.5 -0.437125071406679 0.51 1.040816326530577
0.5 -0.43983766936733254 0.52 1.0833333333332882
0.5 -0.4426755249464702 0.53 1.1276595744680287
0.5 -0.4456440715685934 0.54 1.1739130434781915
0.5 -0.44874916763232614 0.55 1.2222222222221317
0.5 -0.4519969388946042 0.56 1.2727272727271621
0.5 -0.4553940171965032 0.57 1.3255813953486943
0.5 -0.45894740804772155 0.58 1.3809523809522029
0.5 -0.4626647172685358 0.59 1.4390243902436852
0.5 -0.46655396299457264 0.6 1.4999999999997184
0.5 -0.47062383136808306 0.61 1.5641025641022075
0.5 -0.4748836542427228 0.62 1.6315789473679705
0.5 -0.47934350938463766 0.63 1.702702702702124
0.5 -0.4840141660747054 0.64 1.7777777777770496
0.5 -0.48890746408647096 0.65 1.8571428571418949
0.5 -0.49403609905481405 0.66 1.9411764705870074
0.5 -0.49941392358295034 0.67 2.0303030303014187
0.5 -0.5050560578290733 0.68 2.124999999997862
0.5 -0.5109789640664162 0.69 2.2258064516100733
0.5 -0.5172007586022265 0.7 2.3333333333295516
0.5 -0.523741330458679 0.71 2.4482758620638094
0.5 -0.5306226366298231 0.72 2.5714285714215634
0.5 -0.5378689330516052 0.73 2.703703703694104
0.5 -0.5455072083070428 0.74 2.8461538461404783
0.5 -0.5535675413410074 0.75 2.9999999999811133
0.5 -0.5620836614391128 0.76 3.1666666666396353
0.5 -0.5710934840146005 0.77 3.347826086917103
0.5 -0.5806398750925622 0.78 3.545454545396489
0.5 -0.5907716815126449 0.79 3.761904761818421
0.5 -0.6015446392338094 0.8 3.9999999998681868
0.5 -0.6130229828206867 0.81 4.263157894532024
0.5 -0.6252812310421538 0.82 4.55555555522911
0.5 -0.6384064382419585 0.83 4.882352940642231
0.5 -0.6525012700975638 0.84 5.249999999104885
0.5 -0.6676879653499073 0.85 5.666666665113521
0.5 -0.6841137018178074 0.86 6.14285714007016
0.5 -0.7019579388583702 0.87 6.692307687098806
0.5 -0.7214427147817462 0.88 7.333333323122758
0.5 -0.7428471767057777 0.89 8.090909069781087
0.5 -0.7665295415770589 0.9 8.999999953409038
0.5 -0.7929598163389158 0.91 10.111110999966739
0.5 -0.8227725201647562 0.92 11.499999709670456
0.5 -0.856854097959269 0.93 13.285713433798554
0.5 -0.8964977671946495 0.94 15.66666666666516
0.5 -0.9437001590794353 0.95 18.99999999999551
0.5 -1.001791140814841 0.96 23.999999999803297
0.5 -1.0769784339837385 0.97 32.33333332536678
0.5 -1.183016318915155 0.98 48.999998834718056
0.5 -1.36076074724566 0.99 98.99999997233361

0.8 -0.6270056989303794 0.0 -2.642495106058981e-13
0.8 -0.6269919912545425 0.01 0.010101000010200162
0.8 -0.6270056989303794 0.0 -2.642495106058981e-13
0.8 -0.6269919912545425 0.01 0.010101000010200162
0.8 -0.6269542178776086 0.02 0.020408163265307054
0.8 -0.6268972415230721 0.03 0.03092783505154735
0.8 -0.6268250291850259 0.04 0.041666666666667664
0.8 -0.6267406937943782 0.05 0.05263157894736945
0.8 -0.6266470146047713 0.06 0.06382978723404362
0.8 -0.6265465093264452 0.07 0.07526881720430219
0.8 -0.6264413490306188 0.08 0.08695652173913157
0.8 -0.6263336200868954 0.09 0.09890109890110008
0.8 -0.6262250857847236 0.1 0.11111111111111234
0.8 -0.6261175944302007 0.11 0.1235955056179788
0.8 -0.626012672251605 0.12 0.13636363636363769
0.8 -0.625911954182149 0.13 0.14942528735632318
0.8 -0.6258168665975584 0.14 0.16279069767442003
0.8 -0.6257288409152477 0.15 0.17647058823529554
0.8 -0.6256492185140264 0.16 0.19047619047619196
0.8 -0.6255793982850855 0.17 0.20481927710843528
0.8 -0.6255205918335454 0.18 0.21951219512195275
0.8 -0.6254741455655921 0.19 0.23456790123456953
0.8 -0.6254412946452679 0.2 0.25000000000000167
0.8 -0.6254232114635762 0.21 0.2658227848101283
0.8 -0.6254212427638425 0.22 0.2820512820512838
0.8 -0.6254365165289575 0.23 0.29870129870130047
0.8 -0.625470268197133 0.24 0.3157894736842123
0.8 -0.6255237449029208 0.25 0.33333333333333515
0.8 -0.6255981512121356 0.26 0.3513513513513532
0.8 -0.6256947541511425 0.27 0.36986301369863195
0.8 -0.6258148080423157 0.28 0.3888888888888907
0.8 -0.6259595505723108 0.29 0.40845070422535384
0.8 -0.6261302884594585 0.3 0.42857142857143027
0.8 -0.6263283430012596 0.31 0.44927536231884224
0.8 -0.626555016131807 0.32 0.4705882352941192
0.8 -0.6268117502689308 0.33 0.49253731343283735
0.8 -0.6270998545768958 0.34 0.5151515151515165
0.8 -0.6274207600041067 0.35 0.5384615384615394
0.8 -0.6277759906392039 0.36 0.5625000000000007
0.8 -0.6281670445595681 0.37 0.5873015873015877
0.8 -0.6285955395158308 0.38 0.6129032258064516
0.8 -0.6290630123993112 0.39 0.6393442622950813
0.8 -0.629571145816817 0.4 0.6666666666666653
0.8 -0.6301217230658754 0.41 0.6949152542372856
0.8 -0.6307164937653718 0.42 0.7241379310344792
0.8 -0.6313573352443533 0.43 0.7543859649122762
0.8 -0.6320462143340727 0.44 0.785714285714279
0.8 -0.6327851408403558 0.45 0.8181818181818095
0.8 -0.6335762069617838 0.46 0.8518518518518408
0.8 -0.6344216182700213 0.47 0.8867924528301742
0.8 -0.6353237756290676 0.48 0.9230769230769048
0.8 -0.6362849981968366 0.49 0.9607843137254674
0.8 -0.6373078532263221 0.5 0.9999999999999714
0.8 -0.638395165036912 0.51 1.040816326530577
0.8 -0.6395495309752133 0.52 1.0833333333332882
0.8 -0.6407740871786842 0.53 1.1276595744680287
0.8 -0.6420719118897049 0.54 1.1739130434781915
0.8 -0.6434463718631842 0.55 1.2222222222221317
0.8 -0.6449009168085509 0.56 1.2727272727271621
0.8 -0.646439419459675 0.57 1.3255813953486943
0.8 -0.6480656967038603 0.58 1.3809523809522029
0.8 -0.6497841170351797 0.59 1.4390243902436852
0.8 -0.6515991022337435 0.6 1.4999999999997184
0.8 -0.6535156472276421 0.61 1.5641025641022075
0.8 -0.6555386384318598 0.62 1.6315789473679705
