#1=α 2=ρ 3=ϕ 4=q0 5=qh0 6=qh1 7=ρh 
1.05 0.62 -0.5017517772980074 0.38440320368179065 8.453904243310717e-6 -1.6244326712639483 1.0071534976042789
1.05 0.61 -0.49605907945149275 0.3721355482488928 9.017653290754879e-5 -1.5926233215734944 0.9715552338449052
1.05 0.6 -0.49047360224985004 0.36003948250571255 9.640621634332547e-5 -1.5625120340471617 0.9375650641581029
1.05 0.59 -0.4849931660058699 0.34814659648284907 0.00010966294539116461 -1.5339893293337694 0.9051184054447047
1.05 0.58 -0.47961567914866526 0.3364502320961532 0.00011408807232271556 -1.506942189687644 0.8740926411007807
1.05 0.57 -0.47433936502633756 0.32495987508891094 0.00013139922483418331 -1.4812719286569032 0.8443998968925902
1.05 0.56 -0.4691625454083851 0.3136701115467245 0.0001488432710416987 -1.4568856351036252 0.8159393078898135
1.05 0.55 -0.46408370260230936 0.30258529138682977 0.0001753590606057287 -1.433700381673763 0.7886316574039028
1.05 0.54 -0.4591012594605891 0.2917096863574497 0.00021864277055527737 -1.411640120502166 0.7624037321672695
1.05 0.53 -0.4542140761511756 0.28104714953119053 0.00028468394308589495 -1.39063497327713 0.7371874183267144
1.05 0.52 -0.4494209107222673 0.2706174079357445 0.00040866676709327976 -1.3706213553249003 0.7129356114878367
1.05 0.51 -0.44472054060739263 0.2604949897667442 0.0007222842324239309 -1.3515406528143707 0.6896540978938653
1.05 0.5 -0.4401120608386688 0.2513752610207162 0.0024539240639498416 -1.3333354757737916 0.6678946999188707
1.05 0.49 -0.43559464848900264 0.24793458683136835 0.013851887636917581 -1.3158259520028401 0.6515421414234813
1.05 0.48 -0.43116810310912457 0.2470642764763378 0.029395071377003035 -1.2987454536557805 0.6375074520157361
1.05 0.47 -0.42683226654673684 0.24636980860609328 0.044845038349450306 -1.2820737978764387 0.6236518530261678
1.05 0.46 -0.4225873250737979 0.2456187304450672 0.05977683881219775 -1.2658076732774095 0.6097688755612194
1.05 0.45 -0.41843325674609927 0.24514355784374234 0.07483790287476921 -1.2499125868152379 0.5961377203605032
1.05 0.44 -0.4143700528119689 0.2446663632925237 0.08950643393124125 -1.2344072224325864 0.5825220088000842
1.05 0.43 -0.41039775257026845 0.2442022574603573 0.10381431947426023 -1.219286741573022 0.5689334562503313
1.05 0.42 -0.40651647147776115 0.24374606144026115 0.11775362085408858 -1.2045495337976235 0.5553673249537191
1.05 0.41 -0.4027261080244193 0.24330153761818069 0.1313344193398791 -1.1901922103160576 0.541825918158934
1.05 0.4 -0.3990267536098325 0.2428685955068615 0.1445590137594266 -1.1762122129812729 0.5283084906962798
1.05 0.39 -0.39541840837278575 0.24244720410081813 0.15742974490695616 -1.162607050681592 0.5148143502795338
1.05 0.38 -0.39190111782903564 0.24203738313825826 0.16994899088018656 -1.1493743005921782 0.5013428507594986
1.05 0.37 -0.3884748652649128 0.24163913530527673 0.1821190248607607 -1.1365116247000153 0.4878933403374871
1.05 0.36 -0.38513975851338433 0.24125243835466276 0.19394199413103053 -1.1240167699513108 0.4744651550696429
1.05 0.35 -0.38189568591636125 0.2408772984428561 0.20542004131041125 -1.1118875479342019 0.46105765623561457
1.05 0.34 -0.37874271997521586 0.2405174345611005 0.21656389581625746 -1.1001199262413135 0.44767249949957416
1.05 0.33 -0.37568095905591625 0.24016538074970661 0.2273582492273718 -1.0887155914985207 0.43430436743954454
1.05 0.32 -0.3727103640827538 0.2398245945895667 0.23781297298075543 -1.0776709321362445 0.42095484963744
1.05 0.31 -0.3698309170088414 0.23949876403424983 0.24793878716788953 -1.0669818216978963 0.4076253887483936
1.05 0.3 -0.36704271928341636 0.2391807345914978 0.2577203227493996 -1.0566506598270327 0.39431129477292964
1.05 0.29 -0.36434570681415823 0.23887379220758675 0.26716712009378085 -1.046673826276805 0.38101387444746987
1.05 0.28 -0.3617399732091959 0.23858154149497218 0.2762897477470716 -1.0370471644765211 0.367734335422606
1.05 0.27 -0.3592255007899293 0.23829683654718714 0.2850721442237969 -1.0277738754365426 0.3544684253082917
1.05 0.26 -0.35680232251626726 0.2380265673178813 0.2935329636022388 -1.0188476045716224 0.3412189477252039
1.05 0.25 -0.35447045454514015 0.23776707537823896 0.301664560997672 -1.010269406575251 0.3279834918932308
1.05 0.24 -0.3522298786539012 0.23751527082793045 0.3094603989728384 -1.0020403021688788 0.31476016827401215
1.05 0.23 -0.35008057454437136 0.23727734872504266 0.3169375788480977 -0.9941541726736616 0.30155110285000464
1.05 0.22 -0.34802275169936425 0.23704699619652025 0.3240811489169104 -0.9866147414609974 0.28835309588313973
1.05 0.21 -0.3460561391100237 0.23683043955166314 0.33090838535976275 -0.9794157191735714 0.2751680619520001
1.05 0.2 -0.3441809347525833 0.23662437216856574 0.33741189275904304 -0.9725586161844322 0.26199410178869503
1.05 0.19 -0.3423971853628698 0.23642583675211393 0.34358494716002497 -0.9660449521192007 0.24882968086305288
1.05 0.18 -0.34070479968369594 0.23624076171999403 0.3494441392914993 -0.9598685104497322 0.23567627695342167
1.05 0.17 -0.3391038283424239 0.23606301840069108 0.35497424233366104 -0.9540337716164184 0.22253136237151352
1.05 0.16 -0.3375943244306878 0.23589875248245087 0.36019246019147744 -0.9485342332910859 0.20939627095721014
1.05 0.15 -0.3361761681229105 0.23574471833655955 0.36509104073267906 -0.9433719584047668 0.19626944987061687
1.05 0.14 -0.3348494575829203 0.23559800975215417 0.3696629499172488 -0.9385489270776363 0.18314966277928393
1.05 0.13 -0.333614261511053 0.23546448396550274 0.37392465257468643 -0.9340588112865855 0.17003785030196536
1.05 0.12 -0.3324705462011056 0.23533815109323356 0.3778606910698201 -0.929906686406416 0.15693208529714833
1.05 0.11 -0.3314182046634271 0.23522503390730712 0.38148797554260483 -0.9260860264244081 0.14383314021637142
1.05 0.1 -0.33045746375804697 0.23511900047881135 0.38479046082784407 -0.9226022901397614 0.13073927509676056
1.05 0.09 -0.3295881207651512 0.23502620404698957 0.38778539745987217 -0.9194488024157026 0.11765107798880173
1.05 0.08 -0.32881025784251305 0.23494048070175136 0.3904564674916955 -0.9166312755469612 0.10456701944309255
1.05 0.07 -0.32812390000452296 0.23486791493799028 0.39282070696256 -0.9141431047891587 0.09148746682262032
1.05 0.06 -0.3275290549266673 0.23480259071351275 0.3948623061855727 -0.9119899462510174 0.0784111351461954
1.05 0.05 -0.3270257349043537 0.23474738134251988 0.3965894439517115 -0.910168540110205 0.06533789920309584
1.05 0.04 -0.326613941682232 0.23470548826982368 0.3980111943358011 -0.908675275423643 0.05226745879037777
1.05 0.03 -0.32629356053518477 0.2346684085877337 0.3991044128515142 -0.9075187558329836 0.03919869506053493
1.05 0.02 -0.3260648345382393 0.23464499888125082 0.3998936195515057 -0.9066895922939384 0.026131664236908884
1.05 0.01 -0.325927553760741 0.23463070749727605 0.4003664203500179 -0.9061923986753463 0.013065588190253644
1.05 0.0 -0.3258816099866959 0.234623627546317 0.4005176347243733 -0.9060290996337679 0.0
1.05 0.63 -0.5075539162574565 0.3968731648150478 -7.376999011654561e-5 -1.6580853757705085 1.044547311641647
1.05 0.64 -0.5134680181674066 0.4095751382186577 -7.131728541054372e-5 -1.693751011520545 1.083955004310486
1.05 0.65 -0.5194969621727797 0.42247599268824243 -7.197709095407845e-5 -1.7315834716539489 1.1254824714659466
1.05 0.66 -0.5256436635513517 0.43557888199968925 -6.628830817589915e-5 -1.7717739837212556 1.1693270789726327
1.05 0.67 -0.5319112620534252 0.4488808648557687 -6.299860633163235e-5 -1.8145322001513553 1.215694365035166
1.05 0.68 -0.5383033417964531 0.462382166912507 -6.169764699137659e-5 -1.8600963300068263 1.2648235500046878
1.05 0.69 -0.5448237201896712 0.4760853113672434 -5.3511861608512845e-5 -1.908738876717543 1.3169929017505948
1.05 0.7 -0.5514764933318884 0.48998560554660786 -5.533740132790399e-5 -1.9607582382666002 1.3724920306056905
1.05 0.71 -0.5582661357648993 0.5040876428485684 -5.024547444776317e-5 -2.016508759160442 1.4316855447170558
1.05 0.72 -0.5651975714072855 0.5183872922065168 -5.478484332854805e-5 -2.076378851055066 1.494953327672451
1.05 0.73 -0.5722761585335705 0.532888653859213 -5.199873864825122e-5 -2.140833387009715 1.5627704134378788
1.05 0.74 -0.579507744204033 0.5475896669574357 -5.048328421963788e-5 -2.210393577478637 1.635653889703869
1.05 0.75 -0.5868988510253718 0.562490413141464 -5.0082271663143274e-5 -2.2856691493091765 1.714214300278135
1.05 0.76 -0.594456451765466 0.5775909232508156 -5.08679764976705e-5 -2.367371393197268 1.799163599167785
1.05 0.77 -0.6021884309539633 0.5928926416739739 -4.4395820353315685e-5 -2.4563450820049844 1.891351528362166
1.05 0.78 -0.610103365010908 0.6083927410926728 -4.7331139008122136e-5 -2.5535590300888984 1.9917391251809144
1.05 0.79 -0.6182108337991368 0.6240938676262983 -4.339562043043088e-5 -2.660208821692735 2.101530686597121
1.05 0.8 -0.6265215622896856 0.6399936473550588 -4.9012127689707086e-5 -2.777679604800131 2.222104474137953
1.05 0.81 -0.6350474817898956 0.6560952858409436 -3.985645147253081e-5 -2.907723805188324 2.3552239984768497
1.05 0.82 -0.6438019419215274 0.6723956802898088 -4.024580668726685e-5 -3.05238098290908 2.502919404423962
1.05 0.83 -0.6528001341242237 0.6888965808578842 -3.532407699680107e-5 -3.214264471843473 2.6678101926461752
1.05 0.84 -0.6620592991058325 0.7055971789608312 -3.2544966721559376e-5 -3.39657742765229 2.8530977014558774
1.05 0.85 -0.6715989863110272 0.7224979691995707 -2.6368907057872093e-5 -3.603426097197163 3.0628897690465893
1.05 0.86 -0.681441980816953 0.7395984471030509 -2.2898516416347547e-5 -3.840032890181923 3.302408592832336
