1:α 2:λ 3:ρ_r 4:E_r 5:E_l0 6:ρ_l 7:E_l
3.0 0.001 -1 -1 0.27138772732062405 0.9756689673762452 0.05080128260990371
3.0 0.002 -1 -1 0.27227814112277293 0.9755944805414464 0.052807220069840524
3.0 0.004 -1 -1 0.2740639271061402 0.9754645405854236 0.05680777008908407
3.0 0.008 -1 -1 0.2776550734541256 0.9752256639688773 0.06477317903831357
3.0 0.016 -1 -1 0.2849136903903918 0.9747351672286073 0.08059297100789428
3.0 0.032 -1 -1 0.2997217689195357 0.9735635558806437 0.11188370525558936
3.0 0.064 0.9718299583848519 0.17346163194088193 0.3304031373488401 0.9702319785172453 0.1733312329628748
3.0 0.128 0.9584474324659835 0.29227298110053584 0.3954291139118624 0.9584081447386155 0.2922729810208776
3.0 0.256 0.9543578135937756 0.5228089045072303 0.5369974193087882 0.001638566482548366 0.536997386086397
3.0 0.512 0.9296124127487277 0.9542271676568996 0.852386217995182 0.00011875798947607631 0.8523862189005759
3.0 1.024 0.00028628761954195537 1.5619956785161717 1.561995652803451 3.82081314777718e-6 1.56199565280619
2.9 0.001 -1 -1 0.24803578498050782 0.9744293947689674 0.050640672950038164
2.9 0.002 -1 -1 0.2488581918829143 0.9743461920567684 0.05254706023714877
2.9 0.004 -1 -1 0.2505079751627022 0.9742018203398877 0.0563483691720648
2.9 0.008 -1 -1 0.2538271490326675 0.9739343580931241 0.06391459522411862
2.9 0.016 -1 -1 0.2605418285915743 0.9733863463843402 0.07893322456477449
2.9 0.032 -1 -1 0.2742613702328832 0.9720803963239741 0.10861098951795578
2.9 0.064 0.9683661790487473 0.16678995569110355 0.30275931372257403 0.9683506041939692 0.16678995619882384
2.9 0.128 0.954860318350374 0.2789932570408761 0.36337900228197706 0.9548137380548232 0.2789932572737886
2.9 0.256 0.9501808959878735 0.49562147608803264 0.4959530582050813 0.0010649896111937646 0.4959530573475097
2.9 0.512 0.9179844898240337 0.894856015177014 0.7927138695702617 7.280490709853744e-5 0.7927138699509029
2.9 1.024 0.00030145574783819464 1.4633054335489293 1.463305405496356 2.1967988048457567e-6 1.463305405497269
2.8 0.001 -1 -1 0.22565330000202 0.9730573870788872 0.05047363145337515
2.8 0.002 -1 -1 0.2264088151475761 0.9729639573496307 0.05228049547093688
2.8 0.004 -1 -1 0.2279248321271981 0.9728011926172313 0.055882619610334694
2.8 0.008 -1 -1 0.2309765349213866 0.9724995681652772 0.0630497435721783
2.8 0.016 -1 -1 0.23715639579698872 0.9718842466986648 0.07726716666460715
2.8 0.032 -1 -1 0.2498059061569387 0.9704204642413583 0.10533088085784328
2.8 0.064 0.9682651391974029 0.16038141023452068 0.2761578956960065 0.9662098819884688 0.16023414461671584
2.8 0.128 0.950540987859374 0.26565184452659846 0.33244555858254343 0.9504879632464265 0.2656518456706493
2.8 0.256 0.9451129509049965 0.4681932851634991 0.4561670675454479 0.000669466113460716 0.45616707183721805
2.8 0.512 0.9014057850774118 0.8332955942909314 0.7345590129285098 4.314737031957439e-5 0.7345590130740116
2.8 1.024 0.0002850669719328504 1.3665914754588209 1.3665914481766697 1.2216384756615774e-6 1.3665914481769534
2.7 0.001 -1 -1 0.2043094921853249 0.9715295020152512 0.05029908282125177
2.7 0.002 -1 -1 0.20499936307637 0.9714252604643576 0.052006450274795536
2.7 0.004 -1 -1 0.2063841355294776 0.9712391465510837 0.05540944755498956
2.7 0.008 -1 -1 0.20917345116020114 0.9708993558582686 0.062177552257222435
2.7 0.016 -1 -1 0.21482877492631508 0.9702027523160692 0.07559370615956887
2.7 0.032 -1 -1 0.226429203953526 0.9685447385981254 0.10204208747240254
2.7 0.064 0.9637629541923138 0.15366105079238385 0.25067751503077723 0.9637429570662017 0.1536610506969026
2.7 0.128 0.9452226419440009 0.2522327743706816 0.3027166264804667 0.0022568933409922655 0.3027165379909013
2.7 0.256 0.9388220973151216 0.44045681371344303 0.4177440117261171 0.00041619136754275556 0.41774401494317226
2.7 0.512 0.8750102452973386 0.7678997289805266 0.6780554757193181 2.4700084872953626e-5 0.6780554757700734
2.7 1.024 0.00028239827944124944 1.2720383415637955 1.2720383183264667 5.454874410299259e-7 1.2720383183265227
2.6 0.001 -1 -1 0.1840786173783206 0.969818943744176 0.05011569871773394
2.6 0.002 -1 -1 0.18470428690873442 0.9697002741997148 0.05172359537547908
2.6 0.004 -1 -1 0.18596069371704615 0.9694889307914751 0.054927522971327726
2.6 0.008 -1 -1 0.18849342643339634 0.9690993347353545 0.06129669137756759
2.6 0.016 -1 -1 0.19363600599281855 0.9683042623262639 0.07391148253822918
2.6 0.032 -1 -1 0.20421125579851362 0.9664125510626793 0.0987429812791186
2.6 0.064 0.9608917356257036 0.1470671133709095 0.22640409129232147 0.9608687246434748 0.14706711398042432
2.6 0.128 0.9384495724896111 0.23871285886396137 0.2742893028886849 0.0013463721144512813 0.2742892890173542
2.6 0.256 0.9307473497264489 0.41229444059830433 0.3808010446429537 0.0002562489066707803 0.3808010463623146
2.6 0.512 0.8197251411627171 0.6930161667643999 0.6233551811820821 1.3651414041787851e-5 0.623355181198277
2.6 1.024 0.000302046003242808 1.1798578676504108 1.1798578458373659 2.795087220593438e-7 1.1798578458373796
2.5 0.001 -1 -1 0.1650390124089911 0.9678892766497262 0.04992181950786378
2.5 0.002 -1 -1 0.16560213542217989 0.9677531817306757 0.051430267929272425
2.5 0.004 -1 -1 0.1667335120696764 0.967510617657932 0.054435179948926146
2.5 0.008 -1 -1 0.1690164020006626 0.967062384783192 0.06040548747955968
2.5 0.016 -1 -1 0.173659862896487 0.9661455309787457 0.07221877399731601
2.5 0.032 -1 -1 0.18323760267204386 0.9639608621198494 0.09543148329039343
2.5 0.064 0.9574987017465444 0.14044761565632835 0.2034305131895166 0.002596760721072081 0.203430405790964
2.5 0.128 0.929427579555582 0.22505622267908654 0.2472701912884735 0.0009331551197291548 0.2472701918465115
2.5 0.256 0.9199180429685176 0.3835274366272592 0.3454690511557974 0.00018000858422740541 0.34546905220460844
2.5 0.512 0.0005355199117893117 0.5706307650987009 0.5706307321255006 7.28420793151348e-6 0.5706307321302408
2.5 1.024 0.0001503305535992602 1.090294092651278 1.0902940884519514 1.1206758625618837e-7 1.0902940884519516
2.4 0.001 -1 -1 0.1472709416200227 0.9656965152647511 0.04971534362891856
2.4 0.002 -1 -1 0.14777346614866238 0.9655387529990394 0.051124360372947215
2.4 0.004 -1 -1 0.14878372451602 0.965258627162844 0.0539303017717561
2.4 0.008 -1 -1 0.15082467193068783 0.9647356143266856 0.059501807180328437
2.4 0.016 -1 -1 0.15498503445163087 0.9636681421487898 0.07051336971152955
2.4 0.032 -1 -1 0.16359769489104398 0.9611142573153305 0.09210488429863431
2.4 0.064 0.9573819768311244 0.13400182546737993 0.18185543216701794 0.00172003866975789 0.18185540835789943
2.4 0.128 0.9164492323753783 0.21120162821402755 0.22177487803693935 0.0005622262416529993 0.22177488039698512
2.4 0.256 0.9043134680976865 0.35379735128815054 0.3118932901037965 0.00025855078472000807 0.31189329258180537
2.4 0.512 0.0004767287280695448 0.5200779373288821 0.520077908415121 4.269738782657478e-6 0.5200779084167751
2.4 1.024 5.390664624181902e-5 1.0036288472016794 1.003628846957034 5.2699122813510527e-8 1.003628846957031
2.3 0.001 -1 -1 0.1308526750543756 0.9631811582978753 0.04949357077756879
2.3 0.002 -1 -1 0.13129692175111737 0.9629994116582179 0.05080316120315154
2.3 0.004 -1 -1 0.13219073859317673 0.9626700617641832 0.05341015908240347
2.3 0.008 -1 -1 0.13399915512248692 0.9620547887849566 0.058582885437087104
2.3 0.016 -1 -1 0.13769548384080396 0.9607954979615427 0.06879238001420734
2.3 0.032 -1 -1 0.1453815236785176 0.0021933173926006596 0.14538148036539478
2.3 0.064 0.9533273537374638 0.12733400773977266 0.1617804075585494 0.0010148724807732192 0.1617804058710452
2.3 0.128 0.8947080341410195 0.1970243443837667 0.19792593736635705 0.0003007982866866636 0.19792593852472723
2.3 0.256 0.8787173045391197 0.3222772283855388 0.2802328043609764 6.595719578607795e-5 0.28023280453574184
2.3 0.512 0.0004315095330117033 0.4719175434488655 0.4719175187078828 2.8590067979809404e-6 0.4719175187086272
2.3 1.024 1.5235410693776387e-5 0.9201875603380327 0.9201875605814424 1.8917262314498014e-8 0.9201875605814362
2.2 0.001 -1 -1 0.11585400449897623 0.9602666888255944 0.049252971683042705
2.2 0.002 -1 -1 0.11624277006814449 0.9600536203629193 0.05046312275554924
2.2 0.004 -1 -1 0.11702576438601917 0.002856095840059379 0.11702568624412132
2.2 0.008 -1 -1 0.11861300497923113 0.002527253777909374 0.11861294934827837
2.2 0.016 -1 -1 0.1218682151640908 0.001955059963763578 0.1218681885047487
2.2 0.032 -1 -1 0.12867370317696894 0.0012316196405292438 0.12867369783608948
2.2 0.064 0.948369234719104 0.12061964202705988 0.14330443385560931 0.0005429706571382811 0.1433044348329382
2.2 0.128 0.9287183851771679 0.18541765471428595 0.17584828845067646 0.0001437918106593769 0.1758482887949706
2.2 0.256 0.0007804788959997909 0.2506574559235692 0.25065740752267274 2.2762914634027563e-5 0.2506574075442686
2.2 0.512 0.0003648575050030475 0.4263954213700526 0.42639540035526513 7.759045750726593e-6 0.42639540036052004
2.2 1.024 3.711645560671855e-6 0.8403445451071043 0.8403445455098069 8.179661674221873e-9 0.8403445455097982
2.1 0.001 -1 -1 0.10232639185906678 0.001753249124173415 0.1023263745792801
2.1 0.002 -1 -1 0.1026630640556099 0.0016947709697412501 0.10266304849098809
2.1 0.004 -1 -1 0.10334204763542795 0.0015842211702340192 0.10334203505039818
2.1 0.008 -1 -1 0.1047218390498105 0.001386364850696643 0.10472183096329318
2.1 0.016 -1 -1 0.10756361969526099 0.0010600715569405329 0.10756361677350837
2.1 0.032 -1 -1 0.11354389620194127 0.000647853258348363 0.11354389644898372
2.1 0.064 0.942150041680319 0.11384358077514747 0.12651455018260585 0.0002660815764550478 0.12651455066913053
2.1 0.128 0.9155752048029652 0.1711136213732322 0.15566023659336092 6.224595783187361e-5 0.15566023666718276
2.1 0.256 0.0006962532422790464 0.2233401884085886 0.22334014177844042 7.37517030138335e-6 0.22334014178068357
2.1 0.512 0.000350622339523169 0.38377832874392565 0.38377830299466353 9.817790803963606e-7 0.3837783029947413
2.1 1.024 8.627226744968143e-7 0.7645255560781117 0.7645255575719551 4.442331678187584e-9 0.7645255575719387
2.0 0.001 -1 -1 0.09028998862174495 0.000938435677234188 0.09028998666524882
2.0 0.002 -1 -1 0.09057863689376355 0.0008986065801171676 0.09057863525047535
2.0 0.004 -1 -1 0.0911617976795163 0.0008360765639528764 0.09116179651692971
