1:α 2:λ 3:ρ_r 4:E_r 5:E_l0 6:ρ_l 7:E_l
3.0 0.001 0.9997500796536662 0.0004998750421682908 -1 1 -1
3.0 0.00115 0.9997126053357923 0.0005748347516302532 -1 1 -1
3.0 0.0013224999999999999 0.9996695142953771 0.0006610314717444342 -1 1 -1
3.0 0.0015208749999999999 0.9996199654536999 0.0007601485157166595 -1 1 -1
3.0 0.0017490062499999994 0.9995629920249129 0.0008741209726858566 -1 1 -1
3.0 0.0020113571874999995 0.9994974828112855 0.0010051732420217278 -1 1 -1
3.0 0.002313060765624999 0.9994221607457163 0.001155862123128983 -1 1 -1
3.0 0.0026600198804687487 0.9993355582542881 0.0013291262701590238 -1 1 -1
3.0 0.003059022862539061 0.9992359890267131 0.0015283429347392366 -1 1 -1
3.0 0.0035178762919199197 0.9991215156697084 0.001757393048212723 -1 1 -1
3.0 0.004045557735707907 0.9989899126160491 0.0020207358392975387 -1 1 -1
3.0 0.004652391396064093 0.9988386236919584 0.0023234943449159345 -1 1 -1
3.0 0.005350250105473706 0.998664713582528 0.0026715533525463876 -1 1 -1
3.0 0.006152787621294761 0.9984648122926445 0.0030716715128506667 -1 1 -1
3.0 0.0070757057644889754 0.9982350517608335 0.0035316095822372057 -1 1 -1
3.0 0.008137061629162322 0.9979709935570864 0.004060276996676151 -1 1 -1
3.0 0.009357620873536667 0.99766754640785 0.004667899239492001 -1 1 -1
3.0 0.010761264004567169 0.9973188724151505 0.0053662087454757375 -1 1 -1
3.0 0.012375453605252242 0.9969182805407486 0.006168662377272096 -1 1 -1
3.0 0.014231771646040076 0.9964581057012221 0.007090688811839134 -1 1 -1
3.0 0.01636653739294609 0.9959295720817118 0.008149969475410702 -1 1 -1
3.0 0.018821518001888 0.9953226389290343 0.009366756950908425 -1 1 -1
3.0 0.021644745702171196 0.9946258268698704 0.010764235033087518 -1 1 -1
3.0 0.024891457557496874 0.9938260233586933 0.01236892479694139 -1 1 -1
3.0 0.028625176191121406 0.9929082655442543 0.014211141138123313 -1 1 -1
3.0 0.03291895261978962 0.9918554987720613 0.016325504192506283 -1 1 -1
3.0 0.03785679551275806 0.9906483101224579 0.018751509783582428 -1 1 -1
3.0 0.043535314839671754 0.9892646363117943 0.021534162501481557 -1 1 -1
3.0 0.05006561206562252 0.98767944558993 0.02472467408643735 -1 1 -1
3.0 0.05757545387546589 0.9858643961823872 0.02838122834960324 -1 1 -1
3.0 0.06621177195678576 0.9837874727050571 0.03256981176786736 -1 1 -1
3.0 0.07614353775030362 0.9814126066239804 0.037365105964200576 -1 1 -1
3.0 0.08756506841284915 0.9786992880580765 0.04285143433678484 -1 1 -1
3.0 0.10069982867477653 0.9756021785629299 0.04912374992006308 -1 1 -1
3.0 0.11580480297599301 0.9720707421109804 0.05628864494010697 -1 1 -1
3.0 0.13317552342239194 0.9680489109984074 0.06446535428042517 -1 1 -1
3.0 0.15315185193575073 0.9634748154729869 0.07378671507709152 -1 1 -1
3.0 0.1761246297261133 0.9582806049318144 0.08440003289809436 -1 1 -1
3.0 0.2025433241850303 0.9523924033662489 0.09646779159023963 -1 1 -1
3.0 0.23292482281278482 0.9457304392075261 0.11016812931100971 -1 1 -1
3.0 0.26786354623470254 0.9382094058207202 0.12569498825568287 -1 1 -1
3.0 0.3080430781699079 0.929739103344524 0.14325783131669043 -1 1 -1
3.0 0.35424953989539404 0.9202254203127151 0.16308080702430527 -1 1 -1
3.0 0.4073869708797031 0.9095717115881274 0.1854012367461324 -1 1 -1
3.0 0.46849501651165854 0.8976806141097025 0.2104672977912641 -1 1 -1
3.0 0.5387692689884073 0.8844563329800165 0.23853478548578277 -1 1 -1
